ticker,sector,approved,notes
AAPL,Technology,TRUE,"Highest quality, tightest spreads, largest collateral."
ABBV,Healthcare,TRUE,Humira cliff largely passed. Check current pipeline.
ABT,Healthcare,TRUE,Medical devices. Moderate IV.
ADI,Technology,TRUE,"Analog semis. Overlaps TXN, do not hold both."
AMAT,Technology,TRUE,"Semicap. Same cycle as LRCX, do not hold both."
AMD,Technology,TRUE,"Much higher IV than peers. More premium, more assignment risk."
AMGN,Healthcare,TRUE,~38k collateral. Biotech pipeline risk.
AMZN,Consumer Discretionary,TRUE,Retail plus AWS. Two businesses in one position.
ANET,Technology,TRUE,AI networking. High IV.
ARM,Technology,TRUE,Very high multiple. High IV.
AVGO,Technology,TRUE,~34k collateral. High IV semis.
AXP,Financials,TRUE,~32k collateral. Consumer credit exposure.
BA,Industrials,TRUE,Aerospace. Execution and regulatory overhang.
BABA,Consumer Discretionary,TRUE,China ADR. Regulatory and delisting tail risk.
BAC,Financials,TRUE,Rate sensitive. Very liquid chain.
BBVA,Financials,TRUE,Spain bank ADR. Thin chain. Overlaps SAN.
BHP,Energy,TRUE,Australia miner ADR. Commodity exposure.
BLK,Financials,TRUE,~106k collateral. Not viable for a retail account.
BMY,Healthcare,TRUE,Patent cliff. High yield reflects the risk.
BRK-B,Financials,TRUE,"~52k collateral. Note ticker format, some feeds use BRK.B."
C,Financials,TRUE,Cheapest money centre bank. Turnaround unfinished.
CAT,Industrials,TRUE,"Cyclical, global growth proxy."
CMCSA,Communication Services,TRUE,Cord cutting is the structural issue.
COP,Energy,TRUE,Pure play E&P. More volatile than XOM or CVX.
COST,Consumer Staples,TRUE,~90k collateral. Low IV as well.
CRM,Technology,TRUE,Enterprise software. Moderate IV.
CRWD,Technology,TRUE,Very high multiple. High IV.
CSCO,Technology,TRUE,"Boring, profitable, tight spreads. Low growth."
CVS,Healthcare,TRUE,Retail and insurance combined. Execution has been mixed.
CVX,Energy,TRUE,Oil price exposure is the whole trade.
DE,Industrials,TRUE,Agricultural cycle exposure.
DELL,Technology,TRUE,~54k collateral. Ran hard in 2026.
DIS,Communication Services,TRUE,Streaming economics unresolved.
DUK,Utilities,TRUE,Same as SO. Rate regulated.
ETN,Industrials,TRUE,~39k collateral. Electrical equipment.
F,Consumer Discretionary,TRUE,Cheap collateral. Deeply cyclical. Dividend has been cut before.
FCX,Materials,TRUE,Copper. High beta to global growth.
GE,Industrials,TRUE,Post breakup. Verify which entity you are looking at.
GEV,Industrials,TRUE,~88k collateral. Not viable for a retail account.
GILD,Healthcare,TRUE,Biotech with real revenue. Pipeline risk remains.
GM,Consumer Discretionary,TRUE,"Cyclical, EV transition risk."
GOOGL,Communication Services,TRUE,Regulatory risk is the tail.
GS,Financials,TRUE,~98k collateral. Not viable for a retail account.
HBAN,Financials,TRUE,Regional bank. Higher risk than money centre banks.
HD,Consumer Discretionary,TRUE,Housing cycle exposure.
HON,Industrials,TRUE,Diversified industrial. Lower vol than CAT.
HSBC,Financials,TRUE,UK ADR. Options chain is thin.
IBM,Technology,TRUE,"Slow growth, high yield."
INTC,Technology,TRUE,WEAKEST business quality here. Verify before approving.
JNJ,Healthcare,TRUE,Litigation overhang is the known risk.
JPM,Financials,TRUE,Best in class bank. Do not hold alongside BAC.
KHC,Consumer Staples,TRUE,Packaged food. Brand erosion is the known risk.
KLAC,Technology,TRUE,Semicap. Same cycle as LRCX and AMAT.
KMI,Energy,TRUE,"Pipeline infrastructure. Steady cash flow, low growth."
KO,Consumer Staples,TRUE,Defensive. Low IV means it will often fail gate 3.
KVUE,Consumer Staples,TRUE,Staples spinoff. Check talc litigation exposure.
LIN,Materials,TRUE,"~46k collateral. Industrial gases, low IV."
LLY,Healthcare,TRUE,~114k collateral. Not viable for a retail CSP account.
LMT,Industrials,TRUE,Same defence exposure as RTX. Do not hold both.
LOW,Consumer Discretionary,TRUE,Same bet as HD. Do not hold both.
LRCX,Technology,TRUE,"Semicap. Deeply cyclical, high IV."
MA,Financials,TRUE,Same bet as V. Do not hold both.
MCD,Consumer Discretionary,TRUE,Defensive consumer. Low IV.
META,Communication Services,TRUE,~67k collateral. Well above small account size.
MO,Consumer Staples,TRUE,Tobacco. High yield. Ethical screen may rule this out.
MRK,Healthcare,TRUE,Keytruda concentration is the single biggest risk.
MRVL,Technology,TRUE,High IV semis. Deeply cyclical.
MS,Financials,TRUE,Investment bank. Correlates with GS.
MSFT,Technology,TRUE,"Check price, may exceed the 400 tier C ceiling."
MU,Technology,TRUE,Deeply cyclical. Memory pricing drives everything.
MUFG,Financials,TRUE,Japan ADR. Cheap collateral but thin options.
NEE,Utilities,TRUE,"Utility. Very low IV, will rarely pass gate 3."
