date,ticker,iv30
2026-08-28,F,0.42
2026-08-28,F,0.55
2026-09-16,AMD,3.3857
2026-09-16,BABA,1.1602
2026-09-16,BBVA,0.3652
2026-09-16,BMY,0.4736
2026-09-16,CMCSA,0.3291
2026-09-16,CRWD,2.5986
2026-09-16,CSCO,0.9219
2026-09-16,F,0.3711
2026-09-16,FCX,0.543
2026-09-16,HBAN,0.293
2026-09-16,INTC,0.9727
2026-09-16,KHC,0.2954
2026-09-16,KMI,0.2476
2026-09-16,KO,0.5
2026-09-16,KVUE,0.2734
2026-09-16,MUFG,0.395
2026-09-16,NEE,0.7969
2026-09-16,NFLX,0.5469
2026-09-16,NVDA,1.5
2026-09-16,NVO,0.3399
2026-09-16,O,0.2832
2026-09-16,PFE,0.2368
2026-09-16,PLTR,1.4063
2026-09-16,SAN,0.5332
2026-09-16,SBUX,0.8203
2026-09-16,SHOP,1.5879
2026-09-16,T,0.2612
2026-09-16,TSLA,1.9375
2026-09-16,UBS,0.2686
2026-09-16,VZ,0.2405
2026-09-17,AMD,3.5811
2026-09-17,BMY,0.4121
2026-09-17,KHC,0.2876
2026-09-17,KMI,0.2676
2026-09-17,KVUE,0.2705
2026-09-17,NVDA,1.791
2026-09-17,NVO,0.4214
2026-09-17,PFE,0.2432
2026-09-17,PLTR,1.4688
